l1,l2,w1,w2,r,fl,fw,area
0.0211771114420191,0.0458191717946798,0.0034423984670961,0.00321222107663259,0.00425045538357684,0.0159460497841894,0.00210175949272331,8.42641077695098
0.0206884085321898,0.0412332502902823,0.00336413896205075,0.002288300417496,0.00593796536596728,0.0169974441536816,0.00260150640617259,36.3345154708876
0.0208306265392446,0.0351216733106841,0.00214349773196747,0.00157166636984336,0.0047730962163565,0.0202880816536715,0.00279202081958134,0
0.0222029562121575,0.0471583412945815,0.00185258489630515,0.00268458117627454,0.00767837653196959,0.0179765821213838,0.00208640245839967,17.531176761846
0.0231524009296669,0.0464466835784452,0.00377784537064767,0.00187551219861615,0.00616630109467261,0.0216851867329524,0.0027421702684468,0.00361731805153543
0.0217397669838067,0.0448294490441746,0.0033589903217159,0.00199937926076475,0.00415011096241062,0.0161317065381694,0.00260543938431308,21.1197909806573
0.0198602203032449,0.0409145424446035,0.00170501679286941,0.00391415462590192,0.0079455787393077,0.0222816068672011,0.00318818438288987,0
0.0209077279439529,0.0401330941775674,0.00286646274074126,0.00216420387885091,0.00490679321398602,0.0166277064766876,0.00397891098133487,17.0578980798277
0.0209925560566189,0.0413483665681734,0.00176554703493503,0.0022185934900247,0.00497526350650356,0.021659169069262,0.0031405060778586,0
0.0214940597803329,0.0444422964311226,0.00319258632233342,0.00227805510723479,0.00455258991122349,0.0174199846313608,0.0034540167477066,29.2548073869461
0.0227557708267836,0.0468571479533138,0.00325518527054977,0.00150239806443831,0.00452562407383625,0.0152274795664932,0.00395251940000774,22.636305426588
0.0216267585957583,0.0467337666052835,0.00245903055744033,0.00233947149387395,0.00507157051008274,0.0178654054146569,0.00208486931082064,22.4335619629569
0.0211627453573683,0.0417151718330697,0.00233715682076195,0.00174056854682525,0.0061983377320358,0.0177897599660696,0.0032237385295784,22.9037847366724
0.0235811087758556,0.040988783360271,0.00350348667018567,0.00299646125913517,0.00438069567400287,0.0212257970895008,0.00293432083065505,0
0.0191244979379761,0.0430058226061241,0.00180952422819528,0.00256843875243384,0.0056705772565537,0.0213404653982932,0.00259392759473883,0
0.0246241862868926,0.0390526173242965,0.00224866020951599,0.00262595268551039,0.00672246447588743,0.0177010472685204,0.00283045436381165,30.7470789300968
0.0197886980637989,0.0460500038449776,0.0019019879422372,0.00398698653759044,0.00483087652849793,0.017147913465573,0.0035447003942771,35.2684732463821
0.0216080420740305,0.0371177869193812,0.00153747961137255,0.00228958566533852,0.00547979102459464,0.0155685585763092,0.00297176730994833,19.5730536100034
0.0230608839357404,0.0442224984345552,0.00356934583071152,0.00243561999322218,0.00613434869565819,0.0171973240674136,0.00261824051180157,32.2802834168594
0.0235254259551211,0.0441075553768041,0.00150554942979096,0.00186235651939337,0.00610247916484698,0.0206579385902813,0.00232233370472503,24.7797366714339
