l1,l2,w1,w2,r,fl,fw
0.024569518320135656,0.044864544342422125,0.0030212967155199702,0.002761384667162658,0.0066273361080959135,0.021779537569348254,0.003408828153721385
0.02040423614319478,0.04291387559569771,0.0035761094623590513,0.0037758570170646887,0.0069690838293728265,0.020162381795593088,0.002840400033082077
0.022904431377420403,0.03942389467102531,0.0018356660331146843,0.0035381161200988146,0.00709796680070162,0.022446893284843155,0.0031926324090233073
0.02048874523004063,0.036563677584261156,0.002824077257432376,0.003380399907885758,0.006607616035684326,0.015785681535694464,0.003614883616611143
0.020941256993877333,0.046803671769969524,0.002020177795914192,0.0023539057270162696,0.005567204169786948,0.021534629836679933,0.003169539894737422
0.021645783368834597,0.03860041573266144,0.0037580837974381157,0.001808659479697722,0.007520365765179508,0.016346224498385322,0.0035215253898449985
0.021677811903426623,0.049876436505444335,0.002599793979226184,0.003434831579959427,0.006490444630150701,0.021729051896387717,0.00289814194587611
0.02437200072519558,0.04566802714344574,0.003312890006918978,0.0017036505335786935,0.007151593089636719,0.016710479096569936,0.0023683115391858723
0.0196381841386599,0.042468923449078655,0.002480752002304204,0.003410099397898235,0.007407214934681252,0.015599161947562092,0.002745385011236537
0.024987854075096877,0.04911118030571547,0.0019817187774615434,0.002954358680612888,0.007134671769279432,0.020826382122106763,0.0033509963108860584
0.02355273902142213,0.04501596970208004,0.0018766960246079801,0.0036392394314918187,0.006533261433875028,0.01617526414757179,0.0024541930072376796
0.019987398527022762,0.047753890728552774,0.0033876572661743006,0.002583202782696084,0.00793582455981619,0.020013231636188115,0.003906521143300873
0.02493533428031795,0.037277582919351356,0.003864897066181701,0.0024596748950234987,0.004117799781819922,0.020688811364393826,0.0031241952863069497
0.020167194636204998,0.039059699555192326,0.003354229143150098,0.0028662357739838804,0.005568515448529393,0.019389756669041087,0.00290105918370677
0.021412080770061487,0.04112190130614864,0.001522863793072216,0.0017017843986558243,0.005294336389585248,0.017664618947661,0.0032111864268511677
0.02166369501309299,0.03563158099910112,0.003366642850240487,0.002447876078707135,0.00433149473604318,0.015165909764415156,0.0034267059162614282
0.022445771254621206,0.03897051416511821,0.0031096428149344274,0.0018335514545743388,0.005000336367431151,0.017023085198702305,0.0037280995676849393
0.0218024302726903,0.04174338251978491,0.00264348238221759,0.002660477464049892,0.0049609526544085875,0.018251469005258047,0.0031506452250830495
0.02348912456950742,0.048621936908839127,0.0027671045427135137,0.0030480344452314435,0.006700966709102635,0.020340391546666593,0.0026103720766468487
0.022421539499764196,0.042665082516872274,0.002616450830800552,0.001971585847845543,0.004134740170309922,0.020048312489251735,0.003443820470205865
